Sample_ID,Date,Location,Species,Gasex_typeOrSequence,Duplicate_flag,Chem_type,Sample_disc_size,Disc_area_cm2,Num_discs,Leaf_area_cm2,FW_g,DW_g,H20_pc,LMA_gDW_m2,SLA_cm2_g,Canopy_position,,,,,
BNL11359,2016-03-14,PA-PNM,CAL2CA,Diurnal 4,1,CHN,10,1.539,3,4.618,0.102,0.0470,53.92,101.77,98.26,sunlit,,,,,
BNL11368,2016-03-14,PA-PNM,LUEHSE,Diurnal 4,1,CHN,15,3.431,2,6.861,0.191,0.1045,45.29,152.29,65.67,sunlit,,,,,
BNL11117,2016-03-14,PA-PNM,FICUIN,Diurnal 5,1,CHN,15,3.431,2,6.861,0.219,0.0524,76.07,76.37,130.94,sunlit,,,,,
BNL11202,2016-03-14,PA-PNM,CORDAL,Diurnal 5,1,CHN,15,3.431,2,6.861,0.141,0.0694,50.78,101.15,98.87,sunlit,,,,,
BNL11203,2016-03-14,PA-PNM,CORDAL,Diurnal 5,1,CHN,15,3.431,2,6.861,0.137,0.0796,41.91,115.98,86.22,sunlit,,,,,
BNL11204,2016-03-14,PA-PNM,ANACEX,Diurnal 5,1,CHN,15,3.431,2,6.861,0.186,0.0824,55.70,120.09,83.27,sunlit,,,,,
BNL11206,2016-03-14,PA-PNM,ALBIAD,Diurnal 5,1,CHN,10,1.539,4,6.158,0.109,0.0507,53.49,82.34,121.45,sunlit,,,,,
BNL11414,2016-03-14,PA-PNM,ALBIAD,Diurnal 5,1,CHN,10,1.539,4,6.158,0.105,0.0439,58.19,71.29,140.26,sunlit,,,,,
BNL11415,2016-03-14,PA-PNM,ANACEX,Diurnal 5,1,CHN,15,3.431,2,6.861,0.171,0.0460,73.11,67.01,149.23,sunlit,,,,,
BNL11416,2016-03-14,PA-PNM,FICUIN,Diurnal 5,1,CHN,15,3.431,2,6.861,0.200,0.0669,66.53,97.56,102.50,sunlit,,,,,
BNL11426,2016-03-14,PA-PNM,LUEHSE,Diurnal 5,1,CHN,15,3.431,2,6.861,0.195,0.1185,39.22,172.75,57.89,sunlit,,,,,
BNL11427,2016-03-14,PA-PNM,LUEHSE,Diurnal 5,1,CHN,15,3.431,2,6.861,0.194,0.1061,45.31,154.63,64.67,sunlit,,,,,
BNL11431,2016-03-14,PA-PNM,CASTEL,Diurnal 5,1,CHN,15,3.431,2,6.861,0.161,0.0714,55.68,103.99,96.17,sunlit,,,,,
BNL11432,2016-03-14,PA-PNM,CASTEL,Diurnal 5,1,CHN,15,3.431,2,6.861,0.145,0.0652,55.04,95.01,105.25,sunlit,,,,,
BNL11465,2016-03-14,PA-PNM,ANTITR,Diurnal 5,1,CHN,15,3.431,2,6.861,0.120,0.0748,37.65,109.04,91.71,sunlit,,,,,
BNL11466,2016-03-14,PA-PNM,CAL2CA,Diurnal 5,1,CHN,15,3.431,2,6.861,0.130,0.0696,46.48,101.41,98.61,sunlit,,,,,
BNL11485,2016-03-14,PA-PNM,ANTITR,Diurnal 5,1,CHN,15,3.431,2,6.861,0.150,0.0785,47.67,114.41,87.41,sunlit,,,,,
BNL11486,2016-03-14,PA-PNM,CAL2CA,Diurnal 5,1,CHN,15,3.431,2,6.861,0.135,0.0697,48.37,101.58,98.44,sunlit,,,,,
BNL11308,2016-03-14,PA-PNM,ANTITR,Diurnal 6,1,CHN,15,3.431,2,6.861,0.162,0.0809,50.09,117.85,84.86,sunlit,,,,,
BNL11483,2016-03-14,PA-PNM,LUEHSE,Diurnal 6,1,CHN,15,3.431,2,6.861,0.191,0.1004,47.46,146.25,68.37,sunlit,,,,,
